section,task,policy,metric,value,unit,note
COST,square,ft,old_logprob,3.0916616666445407,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,square,ft,actor_forward,47.80041766665969,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,square,ft,actor_backward,46.029177999950356,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,square,ft,critic,3.827519333337174,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,square,ft,proposal,0.6676913333194534,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,square,ft,io,2.601211333361183,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,square,ft,actor_reducible_fraction_f,0.7077217809963257,diagnostic,audit included in final compute gate
COST,square,ft,audit_ms_included,3770.8548750000264,diagnostic,audit included in final compute gate
COST,square,ft,overhead_h_all,28.46681351075424,diagnostic,audit included in final compute gate
COST,square,ft,predicted_total_speedup_all_costs,0.03434897219268047,diagnostic,audit included in final compute gate
COST,transport,ft,rollout_model_sampling,19.430377999962428,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,transport,ft,old_logprob,1.839669666651389,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,transport,ft,actor_forward,48.171811666672205,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,transport,ft,actor_backward,34.7797786666888,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,transport,ft,critic,3.27839766669058,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,transport,ft,proposal,0.6178383333311407,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,transport,ft,io,1.416603000014523,ms per 64-state diagnostic cycle,3-cycle mean; rollout field is model-only
COST,transport,ft,actor_reducible_fraction_f,0.7573103246145286,diagnostic,audit included in final compute gate
COST,transport,ft,audit_ms_included,3734.5033729999955,diagnostic,audit included in final compute gate
COST,transport,ft,overhead_h_all,34.112892275305825,diagnostic,audit included in final compute gate
COST,transport,ft,predicted_total_speedup_all_costs,0.02879003781619752,diagnostic,audit included in final compute gate
