[2026-09-11 11:27:48,600][root][INFO] - Loaded SL-trained policy from /mnt/d/Desktop/my_project/paper_reproduction/DPPO/checkpoints/official/hopper_medium_pre_diffusion_mlp_ta4_td20_state_3000.pt
[2026-09-11 11:27:48,601][root][INFO] - Number of network parameters: 553020
[2026-09-11 11:27:48,823][root][INFO] - Cloned model for fine-tuning
[2026-09-11 11:27:48,824][root][INFO] - Turned off gradients of the pretrained network
[2026-09-11 11:27:48,825][root][INFO] - Number of finetuned parameters: 553020
[2026-09-11 11:28:02,680][agent.finetune.train_agent][INFO] - Saved model to /mnt/d/Desktop/my_project/paper_reproduction/DPPO/logs/gym-finetune/hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10/2026-09-11_11-27-25_42/checkpoint/state_0.pt
[2026-09-11 11:28:02,681][agent.finetune.train_ppo_diffusion_agent][INFO] - [PERF] itr=0 rollout_s=13.807105 prep_s=0.000000 update_s=0.000000 total_s=13.832905
[2026-09-11 11:28:32,557][agent.finetune.train_ppo_diffusion_agent][INFO] - 2: step   160000 | loss   0.0106 | pg loss  -0.0006 | value loss   0.0224 | bc loss   0.0000 | reward 1276.7499 | eta   1.0000 | t: 14.5549
[2026-09-11 11:28:45,637][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 0.0, update_epoch: 0, num_batch: 4
[2026-09-11 11:28:45,705][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.3046926729603e-08, update_epoch: 0, num_batch: 4
[2026-09-11 11:28:45,771][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 2.681682644833927e-07, update_epoch: 0, num_batch: 4
[2026-09-11 11:28:45,835][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 5.460282181957155e-07, update_epoch: 0, num_batch: 4
[2026-09-11 11:28:45,899][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.947449714469258e-07, update_epoch: 1, num_batch: 4
[2026-09-11 11:28:45,962][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.3695981806449709e-06, update_epoch: 1, num_batch: 4
[2026-09-11 11:28:46,025][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.9635203898360487e-06, update_epoch: 1, num_batch: 4
[2026-09-11 11:28:46,089][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 2.7233675155002857e-06, update_epoch: 1, num_batch: 4
[2026-09-11 11:28:46,151][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 3.641305511337123e-06, update_epoch: 2, num_batch: 4
