path,kind,status,bytes,size,sha256,detail
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\wrapper\furniture.py,file,created/downloaded,6465,6.31 KiB,f0f308d5dd468d53421348208dfcb3c146ca75e9e8a3a8a670f9dae8bcaef3ba,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\wrapper\mujoco_locomotion_lowdim.py,file,created/downloaded,2313,2.26 KiB,23517d448d6fa599a4fd9adada11d961838b911b6ab51f162190c82ad387870f,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\wrapper\multi_step.py,file,created/downloaded,9188,8.97 KiB,16c3161821819dcb96f8832f050aeb22447181a9e77c3fbe69c2c46abc6ef5aa,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\wrapper\robomimic_image.py,file,created/downloaded,7517,7.34 KiB,187dc9d1ac3849cb66ea82e4972dbca1fa63b565a88dd383d51bc54cd73bec50,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\gym_utils\wrapper\robomimic_lowdim.py,file,created/downloaded,4849,4.74 KiB,5954f9dc9ef2b52d79480b4dbe4c16fc9e8ceebb60225b6cf1f448e7e17120bb,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\env\plot_traj.py,file,created/downloaded,5058,4.94 KiB,f70ef98899d592b22eb6737dde61facfd37985fe4df09792860127cf6290688d,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\installation\install_d3il.md,file,created/downloaded,224,224.00 B,ca56aa44cdc17b3836494896f532397410cf4d980c7466812949273974da71d2,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\installation\install_furniture.md,file,created/downloaded,1948,1.90 KiB,612d3e4b8c7a6456555b63a7b769ede2d45f5b354caa10170d276469d6b043a9,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\installation\install_mujoco.md,file,created/downloaded,511,511.00 B,fd60a562ad8f566cfd53f0819832b953b9628971df590131e132e5f28c3fcda5,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\LICENSE,file,created/downloaded,1106,1.08 KiB,ffe17613d61947ca9f72fa25cbad2dee56c44950c97aafd24dce89713675bd4b,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\__init__.py,file,created/downloaded,0,0.00 B,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\__pycache__\__init__.cpython-312.pyc,file,created/downloaded,181,181.00 B,839dd155d2c8998bdb70fb45fc19f97067ab5f0baa9a0098cc50c65a339066d3,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\__init__.py,file,created/downloaded,0,0.00 B,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\__pycache__\__init__.cpython-312.pyc,file,created/downloaded,188,188.00 B,f22623c3a2ad1856c91b9bcb28251ae3bde6ef2613bdf4416cdf0cde6fa9b4a6,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\__pycache__\critic.cpython-312.pyc,file,created/downloaded,7104,6.94 KiB,a6d4a5008cf38405ae3c6281cf2f614ffa5fc24e18fe848fceae08834cc37773,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\__pycache__\gaussian.cpython-312.pyc,file,created/downloaded,4678,4.57 KiB,accdf22d63a63e6161bf642ec79fb894dccddb3ec38424506caed01a0d7780a3,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\__pycache__\mlp.cpython-312.pyc,file,created/downloaded,6852,6.69 KiB,b1e8b481a668e7747f49b7d524a5aca5b1a3959a0c25e664321775734331e659,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\__pycache__\mlp_gaussian.cpython-312.pyc,file,created/downloaded,11255,10.99 KiB,6139b0ce44de6e95cec3d9b52e7ef32f565135ffd4bb19d5c855d2c78497c460,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\__pycache__\modules.cpython-312.pyc,file,created/downloaded,5917,5.78 KiB,cd756d74f8bbaf05a1fff3a6d26320311cdebeec4c143ffb50d290d3d44d63db,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\critic.py,file,created/downloaded,6203,6.06 KiB,e9a943b141d6e397dc8253f8652dff93e453fcdfcc2cc6e743878d37dc024e9e,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\gaussian.py,file,created/downloaded,3738,3.65 KiB,34419fe704d1dc8d32c70a5a36894c94b7370dad9f0c2e2e1042737e92bdd38f,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\gmm.py,file,created/downloaded,3143,3.07 KiB,3bff1b11f334cf3379a02d7760be455cf54b537f007f85a34cb84e0d1791ba97,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\mlp.py,file,created/downloaded,5038,4.92 KiB,06f679c8435a53d5c90bd277f684d93a2416512bbb999207c39ca2a7dcb2b172,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\mlp_gaussian.py,file,created/downloaded,10230,9.99 KiB,7b4ed6b4b96adc27f9990d03903442ab938b5379f4eeabea2fee1eb85314852e,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\mlp_gmm.py,file,created/downloaded,3697,3.61 KiB,17984a572794aeff757fc0be39d227b34ff9b05f503629889994b823ca6ccc9d,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\modules.py,file,created/downloaded,2928,2.86 KiB,988081a0c45e31850b5d3a6a67d743ddc8e2020cc87f72eb62474d3c53bba66c,
D:\Desktop\my_project\paper_reproduction\DPPO\source\dppo_v0.6\model\common\transformer.py,file,created/downloaded,15175,14.82 KiB,e7fc1cb887a3384744bd7cafe8c6141a92a91ee00a887036b6d283efa72dd50f,
